term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
MachineObservation,Machine Observation,Strojové pozorování,,,Observation faite par une machine,,,,,機器觀測,An output of a machine observation process.,Výstup procesu strojového pozorování.,,,Le résultat du processus d'une observation par une machine.,,,,,,,,,,,,,,,,,,,,,,,,,
MaterialCitation,Material Citation,Citace materiálu,,,Référence à un matériel,,,,,文獻紀錄,"A reference to or citation of one, a part of, or multiple specimens in scholarly publications.","Odkaz na jeden exemplář, jeho část nebo více exemplářů ve vědeckých publikacích nebo jejich citace.",,,"Une référence ou citation d'un, d'une partie ou de plusieurs spécimens dans des publications scientifiques.",,,,,,"This class constitutes a new value for the controlled vocabulary in the recommendations for basisOfRecord. When importing Darwin Core Archives of literature-based datasets to GBIF, the basisOfRecord should be changed from ""Occurrence"", ""PreservedSpecimen"" or ""Literature"" to ""MaterialCitation"".","Tato třída představuje novou hodnotu pro řízený slovník v doporučeních pro basisOfRecord. Při importu datových sad založených na literatuře z Darwin Core Archives do GBIF by se měl basisOfRecord změnit z ""Occurrence"", ""PreservedSpecimen"" nebo ""Literature"" na ""MaterialCitation"".",,,"Cette classe constitue une nouvelle valeur pour le vocabulaire contrôlé dans les recommandations pour basisOfRecord. Lors de l'importation dans le GBIF d'archives Darwin Core de jeux de données basés sur la littérature, la basisOfRecord doit être modifiée de ""Occurrence"", ""PreservedSpecimen"" ou ""Literature"" à ""MaterialCitation"".",,,,,,,,,,,,,,,
MaterialEntity,Material Entity,Materiální entita,,,Entité matérielle,,,,,材料實體,"An entity that can be identified, exists for some period of time, and consists in whole or in part of physical matter while it exists.","Entita, kterou lze identifikovat, existuje po určitou dobu a skládá se zcela nebo zčásti z fyzické hmoty, dokud existuje.",,,"Une entité qui peut être identifiée, qui existe pendant un certain temps et qui est constituée en tout ou en partie de matière physique pendant son existence.",,,,,,"The term is defined at the most general level to admit descriptions of any subtype of material entity within the scope of Darwin Core. In particular, any kind of material sample, preserved specimen, fossil, or exemplar from living collections is intended to be subsumed under this term.","Tento termín je definován na nejobecnější úrovni, aby umožnil popis jakéhokoli podtypu hmotné entity v rámci rozsahu působnosti Darwin Core. Pod tento termín je zejména třeba zahrnout jakýkoli druh vzorku materiálu, konzervovaný vzorek, fosilii nebo exemplář z živých sbírek.",,,"Le terme est défini au niveau le plus général pour admettre les descriptions de tout sous-type d'entité matérielle dans le champ d'application du Darwin Core. En particulier, tout type d'échantillon matériel, de fossile, de spécimen préservé en collection ou provenant de collections vivantes est censé être inclus dans ce terme.",,,,,,,,,,,,,,,
materialEntityID,Material Entity ID,ID materiální entity,,,Identifiant d'entité matérielle,,,,,實體物質ID,An identifier for a particular instance of a dwc:MaterialEntity.,Identifikátor konkrétní instance dwc:MaterialEntity.,,,Identifiant d'une instance particulière d'une dwc:MaterialEntity.,,,,,,"Values of dwc:materialEntityID are intended to uniquely and persistently identify a particular dwc:MaterialEntity within some context. Examples of context include a particular sample collection, an organization, or the worldwide scale. Recommended best practice is to use a persistent, globally unique identifier. The identifier is bound to a physical object (the dwc:MaterialEntity) as opposed to a particular digital record (representation) of that physical object.","Hodnoty dwc:materialEntityID jsou určeny k jednoznačné a trvalé identifikaci konkrétní dwc:MaterialEntity v rámci určitého kontextu. Příklady kontextu zahrnují konkrétní sbírku vzorků, organizaci nebo celosvětové měřítko. Doporučeným osvědčeným postupem je používat trvalý, celosvětově jedinečný identifikátor. Identifikátor je vázán na fyzický objekt (dwc:MaterialEntity) na rozdíl od konkrétního digitálního záznamu (reprezentace) tohoto fyzického objektu.",,,"Les valeurs de dwc:materialEntityID sont destinées à identifier de manière unique et permanente une dwc:MaterialEntity particulière dans un certain contexte. Les exemples de contexte comprennent une collection d'échantillons donnée, une organisation donnée ou l'échelle globale. La pratique optimale recommandée est d'utiliser un identifiant permanent et unique au niveau mondial. L'identifiant est lié à un objet physique (la dwc:MaterialEntity) par opposition à un enregistrement numérique particulier (représentation) de cet objet physique.",,,,,,,,,,,,,,,
materialEntityRemarks,Material Entity Remarks,Poznámky k materiálním entitám,,,Remarques sur l'entité matérielle,,,,,實體物質註記,Comments or notes about the dwc:MaterialEntity instance.,Komentáře nebo poznámky k instanci dwc:MaterialEntity.,,,Commentaires ou notes sur l'instance de dwc:MaterialEntity.,,,,,,,,,,,,,,,,,,,,,,,,,
MaterialSample,Material Sample,Vzorek materiálu,,Muestra del Material,Échantillon matériel,,,,,材料樣本資訊,A material entity that represents an entity of interest in whole or in part.,"Významný subjekt, který představuje zájmový subjekt jako celek nebo jeho část.",,"Una entidad material que representa alguna entidad de interés, completa o en parte.",Une entité matérielle qui représente une entité d'intérêt en totalité ou en partie.,,,,,,,,,,,,,,,,,,,,,,,,,
materialSampleID,Material Sample ID,ID vzorku materiálu,,ID de muestra del material,Identifiant de l'échantillon matériel,,,,,材料樣本ID,"An identifier for the dwc:MaterialSample (as opposed to a particular digital record of the dwc:MaterialSample). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the dwc:materialSampleID globally unique.","Identifikátor dwc:MaterialSample (na rozdíl od konkrétního digitálního záznamu dwc:MaterialSample). Pokud neexistuje trvalý globální jedinečný identifikátor, vytvořte jej z kombinace identifikátorů v záznamu, která bude co nejpřesněji zajišťovat globální jedinečnost dwc:materialSampleID.",,"Un identificador para dwc:MaterialSample (no hace referencia a muestras digitales sino físicas, como exicados o tejidos). En ausencia de un identificador único global persistente, puede construir uno usando una combinación de identificadores del registro, de tal forma que el dwc:materialSampleID sea globalmente único.","Un identifiant pour le dwc:MaterialSample (par opposition à un enregistrement numérique particulier du dwc:MaterialSample). En l'absence d'un identifiant unique global permanent, en construire un à partir d'une combinaison d'identifiants dans l'enregistrement qui rendra le dwc:materialSampleID le plus unique possible à l'échelle globale.",,,,,,"Recommended best practice is to use a persistent, globally unique identifier.","Doporučeným osvědčeným postupem je použití trvalého, globálně jedinečného identifikátoru.",,La práctica recomendada es usar un identificador único global persistente.,La pratique optimale recommandée est d'utiliser un identifiant permanent et unique au niveau mondial (GUI).,,,,,,,,,,,,,,,
maximumDepthInMeters,Maximum Depth In Meters,Maximální hloubka v metrech,,,Profondeur maximale en mètres,,,,,最大深度(公尺),"The greater depth of a range of depth below the local surface, in meters.",Větší hloubka rozsahu hloubky pod místním povrchem v metrech.,,,"La plus grande profondeur d'une plage de profondeur sous la surface locale, en mètres.",,,,,,,,,,,,,,,,,,,,,,,,,
maximumDistanceAboveSurfaceInMeters,Maximum Distance Above Surface In Meters,Maximální vzdálenost nad povrchem v metrech,,,Distance maximale au-dessus de la surface en mètres,,,,,最大表面垂直距離,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.","Větší vzdálenost v rozsahu vzdálenosti od referenční plochy ve svislém směru v metrech. Kladné hodnoty použijte pro místa nad povrchem, záporné hodnoty pro místa pod povrchem. Pokud jsou uvedeny míry hloubky, je referenčním povrchem místo dané hloubkou, jinak je referenčním povrchem místo dané nadmořskou výškou.",,,"La plus grande distance d'une plage de distances par rapport à une surface de référence dans la dimension verticale, en mètres. Utilisez des valeurs positives pour les emplacements situés au-dessus de la surface, et des valeurs négatives pour les emplacements situés en dessous. Si des mesures de profondeur sont données, la surface de référence est l'emplacement donné par la profondeur, sinon la surface de référence est l'emplacement donné par l'élévation.",,,,,,,,,,,,,,,,"`-1.5` (below the surface); `4.2` (above the surface); For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.","`-1.5` (pod hladinou); `4.2` (nad hladinou); Pro 1,5metrové jádro sedimentu ze dna jezera (v hloubce 20m) v nadmořské výšce 300m: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: MinimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",,,"`-1.5` (sous la surface) ; `4.2` (au-dessus de la surface) ; Pour une carotte de sédiments de 1,5 mètre prélevée au fond d'un lac (à une profondeur de 20 m) à une altitude de 300 m : verbatimElevation : `300m` minimumElevationInMeters : `300`, maximumElevationInMeters : `300`, verbatimDepth : `20m`, minimumDepthInMeters : `20`, maximumDepthInMeters : `20`, minimumDistanceAboveSurfaceInMeters : `0`, maximumDistanceAboveSurfaceInMeters : `-1.5`.",,,,,
maximumElevationInMeters,Maximum Elevation In Meters,Maximální nadmořská výška v metrech,,,Altitude maximale en mètres,,,,,最低海拔(公尺),"The upper limit of the range of elevation (altitude, usually above sea level), in meters.",Horní hranice rozsahu výšky (obvykle nad mořem) v metrech.,,,"Limite supérieure de la plage d'élévation (altitude, généralement au-dessus du niveau de la mer), en mètres.",,,,,,,,,,,,,,,,,,,,,,,,,
measurementAccuracy,Measurement Accuracy,Přesnost měření,,,Précision de la mesure,,,,,測量準確度,The description of the potential error associated with the dwc:measurementValue.,Popis potenciální chyby spojené s dwc:measurementValue.,,,La description de l'erreur ou marge d'erreur potentielle associée à la dwc:measurementValue.,,,,,,,,,,,,,,,,,,,,,,,,,
measurementDeterminedBy,Measurement Determined By,Měření Určeno podle,,,Mesure effectuée par,,,,,測量者,"A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the dwc:MeasurementOrFact.","Seznam (spojený a oddělený) jmen osob, skupin nebo organizací, které určily hodnotu dwc:MeasurementOrFact.",,,"Une liste (concaténée et séparée) de noms de personnes, de groupes ou d'organisations qui ont déterminé la valeur du dwc:MeasurementOrFact.",,,,,,"Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale (` | `). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
measurementDeterminedDate,Measurement Determined Date,Stanovené datum měření,,,Date de la mesure,,,,,測量日期,The date on which the dwc:MeasurementOrFact was made.,"Datum, kdy bylo dwc:MeasurementOrFact provedeno.",,,La date à laquelle la dwc:MeasurementOrFact a été effectuée.,,,,,,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,"Doporučeným osvědčeným postupem je používat datum, které je v souladu s normou ISO 8601-1:2019.",,La práctica recomendada es utilizar una fecha de acuerdo con ISO 8601-1:2019.,La pratique optimale recommandée est d'utiliser une date conforme à la norme ISO 8601-1:2019.,,,,,,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),`1963-03-08T14:07-06:00` (8. března 1963 v 14:07 a později a před 14:08 v časovém pásmu o šest hodin dříve než UTC); `2009-02-20T08:40Z` (20. února 2009 v 8:40 a později a před 8:41 UTC); `2018-08-29T15:19` (29. srpna 2018 v 15:19 a později a před 15:20 místního času); `1809-02-12` (v rámci dne 12. února 1809); `1906-06` (v měsíci červnu 1906); `1971` (v roce 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (někdy v intervalu od 1. března 2007 v 13:00 UTC do 11. května 2008 v 15:30 UTC); `1900/1909` (někdy v intervalu mezi začátkem roku 1900 a před rokem 1909); `2007-11-13/15` (někdy v intervalu mezi začátkem 13. listopadu 2007 a před 15. listopadem 2007),,`1963-03-08T14:07-06:00` (8 de marzo de 1963 a partir de las 2:07 p. m. y antes de las 2:08 p. m. en la zona horaria seis horas anterior a UTC); `2009-02-20T08:40Z` (20 de febrero de 2009 a partir de las 8:40 a. m. y antes de las 8:41 UTC); `2018-08-29T15:19` (29 de agosto de 2018 a partir de las 3:19 p. m. y antes de las 3:20 p. m. hora local); `1809-02-12` (dentro del día 12 de febrero de 1809); `1906-06` (en el mes de junio de 1906); `1971` (en el año 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (en algún momento dentro del intervalo que comienza el 1 de marzo de 2007 a la 1 p. m. UTC y antes del 11 de mayo de 2008 a las 3:30 p. m. UTC); `1900/1909` (en algún momento dentro del intervalo entre principios del año 1900 y antes del año 1909); `2007-11-13/15` (en algún momento en el intervalo entre principios del 13 de noviembre de 2007 y antes del 15 de noviembre de 2007),"`1963-03-08T14:07-0600` (8 mars 1963 à ou après 14h07 mais avant 14h08 dans le fuseau horaire six heures plus tôt que l'UTC) ; `2009-02-20T08:40Z` (20 février 2009 à ou après 8h40 mais avant 8h41 UTC) ; `2018-08-29T15:19` (29 août 2018 à ou après 15h19 mais avant 15h20 heure locale) ; `1809-02-12` (durant le 12 février 1809) ; `1906-06` (durant le mois de juin 1906) ; `1971` (durant l'année 1971) ;`2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (durant une période comprise entre le 1er mars 2007, 13h UTC, et le 11 mai 2008, 15h30 UTC) ; `1900/1909` (durant une période comprise entre le début de l'année 1900 et la fin de l'année 1909) ; `2007-11-13/15` (durant une période comprise entre le début du 13 novembre 2007 et avant le 15 novembre 2007)",,,,,
measurementID,Measurement ID,ID měření,,,Identifiant de la mesure,,,,,測量紀錄ID,"An identifier for the dwc:MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.","Identifikátor dwc:MeasurementOrFact (informace týkající se měření, faktů, charakteristik nebo tvrzení). Může to být globální jedinečný identifikátor nebo identifikátor specifický pro datovou sadu.",,,"Un identifiant pour le dwc:MeasurementOrFact (informations relatives aux mesures, aux faits, aux caractéristiques ou aux affirmations). Il peut s'agir d'un identifiant unique global ou d'un identifiant spécifique à un jeu de données.",,,,,,,,,,,,,,,,,,,,,,,,,
measurementMethod,Measurement Method,Metoda měření,,,Méthode de mesure,,,,,測量方法,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.","Popis nebo odkaz na (publikaci, URI) metodu nebo protokol použitý k určení měření, skutečnosti, vlastnosti nebo tvrzení.",,,"Une description ou référence (publication, URI) de la méthode ou du protocole utilisé pour déterminer la mesure, le fait, la caractéristique ou l'affirmation.",,,,,,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje zadat jakoukoli řetězcovou literální hodnotu.",,,"Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,`minimum convex polygon around burrow entrances` (for a home range area); `barometric altimeter` (for an elevation),`minimální konvexní polygon kolem vchodů do nory` (pro oblast domovského okrsku); `barometrický výškoměr` (pro nadmořskou výšku),,,`polygone convexe minimal autour des entrées de terriers` (pour un territoire) ; `altimètre barométrique` (pour une altitude),,,,,
MeasurementOrFact,Measurement Or Fact,Měření nebo fakt,,,Mesure ou Fait,,,,,測量資訊,A measurement of or fact about an rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource).,Měření nebo skutečnost o rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource).,,,Une mesure ou un fait concernant une rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource).,,,,,,"Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to instances of dwc:Occurrence, dwc:Organism, dwc:MaterialEntity, dwc:Event, dcterms:Location, dwc:GeologicalContext, dwc:Identification, or dwc:Taxon.","Zdroje lze považovat za identifikovatelné záznamy nebo instance tříd a mohou zahrnovat instance dwc:Occurrence, dwc:Organism, dwc:MaterialEntity, dwc:Event, dcterms:Location, dwc:GeologicalContext, dwc:Identification nebo dwc:Taxon, ale nemusí se na ně omezovat.",,,"Les ressources peuvent être considérées comme des enregistrements identifiables ou des instances de classes et peuvent inclure, sans s'y limiter, des instances de dwc:Occurrence, dwc:Organism, dwc:MaterialEntity, dwc:Event, dcterms:Location, dwc : GeologicalContext, dwc:Identification, ou dwc:Taxon.",,,,,,,,,,,,,,,
measurementRemarks,Measurement Remarks,Poznámky k měření,,,Remarques sur la mesure,,,,,測量備註,Comments or notes accompanying the dwc:MeasurementOrFact.,Komentáře nebo poznámky k dwc:MeasurementOrFact.,,,Commentaires ou notes accompagnant la dwc:MeasurementOrFact.,,,,,,,,,,,,,,,,,,,,,,,,,
measurementType,Measurement Type,Typ měření,,,Type de mesure,,,,,測量類別,"The nature of the measurement, fact, characteristic, or assertion.","Povaha měření, skutečnosti, vlastnosti nebo tvrzení.",,,"La nature de la mesure, du fait, de la caractéristique ou de l'affirmation.",,,,,,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat řízený slovník. Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
measurementUnit,Measurement Unit,Jednotka měření,,,Unité de mesure,,,,,測量值單位,The units associated with the dwc:measurementValue.,Jednotky spojené s dwc:measurementValue.,,,Les unités associées à la dwc:measurementValue.,,,,,,"Recommended best practice is to use the International System of Units (SI). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat Mezinárodní soustavu jednotek (SI). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser est d'utiliser les unités du système international (SI). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
measurementValue,Measurement Value,Hodnota měření,,,Valeur de la mesure,,,,,測量值,"The value of the measurement, fact, characteristic, or assertion.","Hodnota měření, skutečnosti, vlastnosti nebo tvrzení.",,,"La valeur de la mesure, du fait, de l'affirmation ou de la caractéristique.",,,,,,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje zadat jakoukoli řetězcovou literální hodnotu.",,,"Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
member,Member,Člen,,,Membre,,,,,,The full name of the lithostratigraphic member from which the dwc:MaterialEntity was collected.,"Úplný název litostratigrafického členění, z něhož byl dwc:MaterialEntity získán.",,,Le nom complet du membre lithostratigraphique à partir duquel l'entité dwc:MaterialEntity a été collectée.,,,,,,,,,,,,,,,,,,,,,,,,,
minimumDepthInMeters,Minimum Depth In Meters,Minimální hloubka v metrech,,,Profondeur minimale en mètres,,,,,最小深度（公尺）,"The lesser depth of a range of depth below the local surface, in meters.",Menší hloubka rozsahu hloubky pod místním povrchem v metrech.,,,"La plus petite profondeur d'une plage de profondeur sous la surface locale, en mètres.",,,,,,,,,,,,,,,,,,,,,,,,,
minimumDistanceAboveSurfaceInMeters,Minimum Distance Above Surface In Meters,Minimální vzdálenost nad povrchem v metrech,,,Distance minimale au-dessus de la surface en mètres,,,,,,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.","Menší vzdálenost v rozsahu vzdálenosti od referenční plochy ve svislém směru v metrech. Kladné hodnoty použijte pro místa nad povrchem, záporné hodnoty pro místa pod povrchem. Pokud jsou uvedeny míry hloubky, je referenčním povrchem místo dané hloubkou, jinak je referenčním povrchem místo dané nadmořskou výškou.",,,"La plus petite distance d'une plage de distances par rapport à une surface de référence dans la dimension verticale, en mètres. Utilisez des valeurs positives pour les emplacements situés au-dessus de la surface, et des valeurs négatives pour les emplacements situés en dessous. Si des mesures de profondeur sont données, la surface de référence est l'emplacement donné par la profondeur, sinon la surface de référence est l'emplacement donné par l'élévation.",,,,,,,,,,,,,,,,"`-1.5` (below the surface); `4.2` (above the surface); For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.","`-1.5` (pod hladinou); `4.2` (nad hladinou); Pro 1,5metrové jádro sedimentu ze dna jezera (v hloubce 20m) v nadmořské výšce 300m: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: MinimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",,,"`-1.5` (sous la surface) ; `4.2` (au-dessus de la surface) ; Pour une carotte de sédiments de 1,5 mètre prélevée au fond d'un lac (à une profondeur de 20 m) à une altitude de 300 m : verbatimElevation : `300m` minimumElevationInMeters : `300`, maximumElevationInMeters : `300`, verbatimDepth : `20m`, minimumDepthInMeters : `20`, maximumDepthInMeters : `20`, minimumDistanceAboveSurfaceInMeters : `0`, maximumDistanceAboveSurfaceInMeters : `-1.5`.",,,,,
minimumElevationInMeters,Minimum Elevation In Meters,Minimální nadmořská výška v metrech,,,Altitude minimale en mètres,,,,,,"The lower limit of the range of elevation (altitude, usually above sea level), in meters.",Spodní hranice rozsahu nadmořské výšky (obvykle nad mořem) v metrech.,,,"Limite inférieure de la plage d'élévation (altitude, généralement au-dessus du niveau de la mer), en mètres.",,,,,,,,,,,,,,,,,,,,,,,,,
month,Month,měsíc,,,Mois,,,,,月,The integer month in which the dwc:Event occurred.,"Celé číslo měsíce, ve kterém dwc:Event nastala.",,,Le mois (nombre entier) au cours duquel le dwc:Event s'est produit.,,,,,,,,,,,,,,,,`1` (January); `10` (October),`1` (leden); `10` (říjen),,,`1` (janvier) ; `10` (octobre),,,,,
municipality,Third Order Division,Členění třetího řádu,,,Division de troisième ordre,,,,,,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the dcterms:Location occurs. Do not use this term for a nearby named place that does not contain the actual dcterms:Location.","Úplný nezkrácený název nejbližšího menšího správního obvodu než kraj (město, obec atd.), ve kterém se dcterms:Location vyskytuje. Nepoužívejte tento termín pro blízké pojmenované místo, které neobsahuje vlastní dcterms:Location.",,,"Le nom complet et non abrégé de la région administrative immédiatement inférieure au comté (ville, municipalité, etc.) dans laquelle se trouve la dcterms:Location. N'utilisez pas ce terme pour un lieu nommé à proximité qui ne contient pas la dcterms:Location elle-même.",,,,,,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.","Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names. Doporučeným osvědčeným postupem je ponechat toto pole prázdné, pokud dcterms:Location pokrývá více entit na této administrativní úrovni nebo pokud dcterms:Location může být v jedné nebo jiné z více možných entit na této úrovni. Násobnost a neurčitost geografické entity lze zachytit buď v termínu dwc:higherGeography, nebo v termínu dwc:locality, případně v obou.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names. La pratique optimale recommandée est de laisser ce champ vide si la dcterms:Location recouvre plusieurs entités à ce niveau administratif ou si la dcterms:Location pourrait se trouver dans l'une ou l'autre des multiples entités possibles à ce niveau. La multiplicité et l'incertitude de l'entité géographique peuvent être renseignées soit dans le terme dwc:higherGeography, soit dans le terme dwc:locality, soit dans les deux.",,,,,,,,,,,,,,,
